"quantile","threshold","group","size","weighted_clustering","unweighted_clustering","density","weighted_assortativity","unweighted_assortativity","size_(%)","size_ratio"
0.71,0.539401872,"1",4,0.5305348361099733,0.5833333333333333,0.6666666666666666,-0.5743162889110336,-0.7142857142857143,80,0.8
0.71,0.539401872,"2",0,"","","","","",0,0.0
0.72,0.5414138039999999,"0",3,0.0,0.0,0.6666666666666666,-0.9997369716821335,-1.0,60,0.6
0.72,0.5414138039999999,"1",4,0.5305348361099733,0.5833333333333333,0.6666666666666666,-0.5743162889110336,-0.7142857142857143,80,0.8
0.72,0.5414138039999999,"2",0,"","","","","",0,0.0
0.73,0.551558588,"0",3,0.0,0.0,0.6666666666666666,-0.9997369716821335,-1.0,60,0.6
0.73,0.551558588,"1",3,0.90948829047424,1.0,1.0,-0.4999999999999999,"",60,0.6
0.73,0.551558588,"2",0,"","","","","",0,0.0
0.74,0.564027044,"0",3,0.0,0.0,0.6666666666666666,-0.9997369716821335,-1.0,60,0.6
0.74,0.564027044,"1",3,0.90948829047424,1.0,1.0,-0.4999999999999999,"",60,0.6
0.74,0.564027044,"2",0,"","","","","",0,0.0
0.75,0.5764955,"0",3,0.0,0.0,0.6666666666666666,-0.9997369716821335,-1.0,60,0.6
0.75,0.5764955,"1",3,0.90948829047424,1.0,1.0,-0.4999999999999999,"",60,0.6
0.75,0.5764955,"2",0,"","","","","",0,0.0
0.76,0.588963956,"0",3,0.0,0.0,0.6666666666666666,-0.9997369716821335,-1.0,60,0.6
0.76,0.588963956,"1",3,0.90948829047424,1.0,1.0,-0.4999999999999999,"",60,0.6
0.76,0.588963956,"2",0,"","","","","",0,0.0
0.77,0.601432412,"0",3,0.0,0.0,0.6666666666666666,-0.9997369716821335,-1.0,60,0.6
0.77,0.601432412,"1",3,0.90948829047424,1.0,1.0,-0.4999999999999999,"",60,0.6
0.77,0.601432412,"2",0,"","","","","",0,0.0
0.78,0.6116973532000001,"0",2,0.0,0.0,1.0,"","",40,0.4
0.78,0.6116973532000001,"1",3,0.90948829047424,1.0,1.0,-0.4999999999999999,"",60,0.6
0.78,0.6116973532000001,"2",0,"","","","","",0,0.0
0.79,0.6142499926,"0",2,0.0,0.0,1.0,"","",40,0.4
0.79,0.6142499926,"1",3,0.90948829047424,1.0,1.0,-0.4999999999999999,"",60,0.6
0.79,0.6142499926,"2",0,"","","","","",0,0.0
0.8,0.616802632,"0",2,0.0,0.0,1.0,"","",40,0.4
0.8,0.616802632,"1",3,0.90948829047424,1.0,1.0,-0.4999999999999999,"",60,0.6
0.8,0.616802632,"2",0,"","","","","",0,0.0
0.81,0.6193552714,"0",2,0.0,0.0,1.0,"","",40,0.4
0.81,0.6193552714,"1",3,0.90948829047424,1.0,1.0,-0.4999999999999999,"",60,0.6
0.81,0.6193552714,"2",0,"","","","","",0,0.0
0.82,0.6219079108,"0",2,0.0,0.0,1.0,"","",40,0.4
0.82,0.6219079108,"1",3,0.90948829047424,1.0,1.0,-0.4999999999999999,"",60,0.6
0.82,0.6219079108,"2",0,"","","","","",0,0.0
0.83,0.6244605502,"0",2,0.0,0.0,1.0,"","",40,0.4
0.83,0.6244605502,"1",3,0.90948829047424,1.0,1.0,-0.4999999999999999,"",60,0.6
0.83,0.6244605502,"2",0,"","","","","",0,0.0
0.84,0.6321259864,"0",0,"","","","","",0,0.0
0.84,0.6321259864,"1",3,0.90948829047424,1.0,1.0,-0.4999999999999999,"",60,0.6
0.84,0.6321259864,"2",0,"","","","","",0,0.0
0.85,0.642347821,"0",0,"","","","","",0,0.0
0.85,0.642347821,"1",3,0.90948829047424,1.0,1.0,-0.4999999999999999,"",60,0.6
0.85,0.642347821,"2",0,"","","","","",0,0.0
0.86,0.6525696556,"0",0,"","","","","",0,0.0
0.86,0.6525696556,"1",3,0.90948829047424,1.0,1.0,-0.4999999999999999,"",60,0.6
0.86,0.6525696556,"2",0,"","","","","",0,0.0
0.87,0.6627914902,"0",0,"","","","","",0,0.0
0.87,0.6627914902,"1",3,0.90948829047424,1.0,1.0,-0.4999999999999999,"",60,0.6
0.87,0.6627914902,"2",0,"","","","","",0,0.0
0.88,0.6730133248,"0",0,"","","","","",0,0.0
0.88,0.6730133248,"1",3,0.90948829047424,1.0,1.0,-0.4999999999999999,"",60,0.6
0.88,0.6730133248,"2",0,"","","","","",0,0.0
0.89,0.682879292,"0",0,"","","","","",0,0.0
0.89,0.682879292,"1",3,0.0,0.0,0.6666666666666666,-0.9935002492512361,-1.0,60,0.6
0.89,0.682879292,"2",0,"","","","","",0,0.0
0.9,0.68989832,"0",0,"","","","","",0,0.0
0.9,0.68989832,"1",3,0.0,0.0,0.6666666666666666,-0.9935002492512361,-1.0,60,0.6
0.9,0.68989832,"2",0,"","","","","",0,0.0
0.91,0.6969173479999999,"0",0,"","","","","",0,0.0
0.91,0.6969173479999999,"1",3,0.0,0.0,0.6666666666666666,-0.9935002492512361,-1.0,60,0.6
0.91,0.6969173479999999,"2",0,"","","","","",0,0.0
0.92,0.7039363760000001,"0",0,"","","","","",0,0.0
0.92,0.7039363760000001,"1",3,0.0,0.0,0.6666666666666666,-0.9935002492512361,-1.0,60,0.6
0.92,0.7039363760000001,"2",0,"","","","","",0,0.0
0.93,0.7109554040000001,"0",0,"","","","","",0,0.0
0.93,0.7109554040000001,"1",3,0.0,0.0,0.6666666666666666,-0.9935002492512361,-1.0,60,0.6
0.93,0.7109554040000001,"2",0,"","","","","",0,0.0
0.94,0.717974432,"0",0,"","","","","",0,0.0
0.94,0.717974432,"1",3,0.0,0.0,0.6666666666666666,-0.9935002492512361,-1.0,60,0.6
0.94,0.717974432,"2",0,"","","","","",0,0.0
0.95,0.7298428069999998,"0",0,"","","","","",0,0.0
0.95,0.7298428069999998,"1",2,0.0,0.0,1.0,"","",40,0.4
0.95,0.7298428069999998,"2",0,"","","","","",0,0.0
0.96,0.7455906596000001,"0",0,"","","","","",0,0.0
0.96,0.7455906596000001,"1",2,0.0,0.0,1.0,"","",40,0.4
0.96,0.7455906596000001,"2",0,"","","","","",0,0.0
